ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
1,20000,2,2,1,,2,2,-1,,-2,-2,3913,3102,689,0,0,0,,689,0,0,0,0,1
2,120000,2,2,2,,-1,2,0,0,0,2,2682,1725,,3272,3455,3261,0,1000,1000,1000,0,2000,1
3,90000,2,2,,34,,0,0,0,0,0,29239,,,14331,14948,15549,1518,1500,1000,1000,1000,,0
4,50000,2,2,1,37,,0,0,0,0,0,46990,48233,49291,28314,,,2000,2019,1200,1100,1069,1000,0
5,50000,1,2,1,57,,,-1,0,0,0,8617,5670,35835,20940,19146,,2000,36681,10000,9000,689,679,0
6,50000,1,1,2,37,0,0,,0,,0,64400,,,19394,19619,20024,2500,1815,657,,1000,800,0
7,500000,,1,2,29,0,0,0,0,0,0,,412023,445007,,483003,,55000,40000,38000,20239,13750,,0
8,100000,2,,2,23,0,-1,-1,0,0,-1,11876,380,601,,-159,567,380,601,0,581,1687,1542,0
9,140000,2,3,,28,0,0,2,,0,0,11285,14096,12108,12211,11793,3719,3329,0,,,1000,,0
10,20000,,3,2,35,-2,-2,-2,-2,,,0,0,0,0,13007,13912,0,0,,13007,1122,,0
11,,2,3,2,34,0,0,2,,,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0
12,260000,2,1,2,,,-1,,-1,-1,,12261,21670,9966,8517,,,,9966,,22301,0,3640,0
13,630000,2,2,2,,-1,0,-1,-1,-1,,12137,6500,,6500,,2870,,6500,6500,6500,2870,0,0
14,70000,1,,2,30,1,2,2,0,0,,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1
15,250000,1,1,2,29,0,0,0,0,0,0,70887,,63561,,56875,,3000,,3000,3000,3000,3000,0
16,50000,2,3,3,,1,2,0,0,0,0,50614,29173,28116,28771,29531,,,,1100,1200,1300,1100,0
17,20000,1,1,2,24,0,0,,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,,1650,0,1
18,,1,1,,49,0,0,0,-1,-1,-1,253286,,194663,70074,5856,195599,,10000,75940,20000,,50000,0
19,,2,,1,49,1,-2,,,,-2,0,0,0,,0,0,0,0,0,,0,,0
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,,0,,0,0,0,,0,0,0,0,0,0
21,130000,,3,2,39,0,0,0,,0,-1,38358,,,20616,11802,930,3000,1537,1000,2000,930,33764,0
22,120000,,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1
23,70000,2,2,,,2,,0,2,2,2,41087,,45020,44006,46905,46012,2007,,0,3601,0,1820,1
24,450000,2,1,1,40,,-2,-2,-2,-2,-2,5512,19420,1473,560,,0,19428,,560,0,0,1128,1
25,90000,1,,2,23,0,0,0,,0,0,4744,7070,0,5398,,8292,5757,0,5398,1200,2045,2000,0
26,50000,1,3,2,23,0,0,,0,0,0,47620,41810,36023,,29829,30046,1973,1426,,1432,1062,997,0
27,60000,1,1,2,27,1,-2,-1,-1,,-1,-109,-425,259,-57,127,-189,0,1000,0,,,1000,1
28,50000,2,3,2,30,0,,0,0,0,0,,16138,,,18931,19617,1300,1300,1000,1500,,1012,0
29,50000,2,,1,47,,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,,30430,257,0,0
30,50000,1,1,,26,0,0,0,0,0,0,,16575,,17907,,11400,1500,1500,1000,1000,1600,0,0
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0
32,50000,1,2,2,,2,0,0,0,,0,,,22102,,23217,23680,1718,,,1000,,716,1
