row_index,prediction,raw_output,ground_truth,n_fewshot_examples,model_name,few_shot_k,n_examples_requested,run_timestamp_utc,leakage_guard_enabled,reference_source
10,3599.85,3599.85,587.45,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
12,3406.75,3406.75,5681.1,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
35,3699.8,3699.8,7251.7,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
41,3316.8,3316.8,4872.35,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
54,3494.45,3494.45,4456.35,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
55,3719.9,3719.9,1752.55,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
75,3316.5,3316.5,6139.5,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
87,3813.15,3813.15,1057.0,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
96,3398.65,3398.65,4748.7,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
103,3376.65,3376.65,3027.25,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
120,3599.6,3599.6,5515.45,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
121,1442.1,1442.1,112.75,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
144,3487.95,3487.95,1756.2,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
148,3735.5,3735.5,1929.95,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
157,3457.35,3457.35,419.9,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
158,4090.5,4090.5,1024.0,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
173,4742.75,4742.75,5000.2,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
205,3898.85,3898.85,2684.85,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
209,3299.35,3299.35,6654.1,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
217,3999.2,3999.2,3789.2,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
247,3636.8,3636.8,1074.3,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
256,3901.1,3901.1,7008.15,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
257,3270.05,3270.05,5791.1,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
263,3883.65,3883.65,1520.1,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
265,3962.2,3962.2,5526.75,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
290,3488.2,3488.2,1712.7,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
292,4646.4,4646.4,1940.8,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
297,3500.8,3500.8,3437.5,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
303,3969.1,3969.1,4109.0,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
307,4466.65,4466.65,2054.4,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
316,3939.65,3939.65,1355.1,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
317,4006.9,4006.9,3058.65,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
323,3386.6,3386.6,422.3,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
324,3961.15,3961.15,4176.7,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
349,3649.0,3649.0,6430.9,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
350,4344.4,4344.4,2278.75,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
354,3817.8,3817.8,840.1,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
368,3585.95,3585.95,6962.85,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
370,3681.8,3681.8,690.25,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
373,3599.5,3599.5,5608.4,0,mistralai/Mistral-7B-Instruct-v0.3,0,100,2026-04-14T14:05:26.367523+00:00,True,df_missing_observed_rows
