row_index,prompt_row_position,compact_prompt_row_position,prediction,ground_truth,source,parse_error,fold_id,n_folds_requested,n_folds_effective,model_name,prompt_rows,fold_prompt_rows_cap,n_rows_requested,max_new_tokens,batch_row,batch_col,run_timestamp_utc,raw_output_preview,min_batch_row
10,10,4,649.35,587.45,fallback_tenure_x_monthlycharges,"fold1_of_3_batch1_r0-20_c10-20:numeric_coerce(TotalCharges,added_nan=15)",1,3,3,mistralai/Mistral-7B-Instruct-v0.3,20,20,80,3500,40,10.0,2026-04-20T14:18:33.181603+00:00,"### fold1_of_3_batch0_r0-20_c0-10
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,10,No,No,DSL,Yes,No
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No
Male,0,No,Yes,62,Yes,Yes,No,Yes,Yes
Male,0,Yes,Yes,13,Yes,No,No,Yes,No
Male,0,No,No,16,Yes,No,No,No,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes
Female,0,No,No,52,Yes,No,No,No,No
Male,1,Yes,",
12,12,6,5820.299999999999,5681.1,fallback_tenure_x_monthlycharges,"fold1_of_3_batch1_r0-20_c10-20:numeric_coerce(TotalCharges,added_nan=15)",1,3,3,mistralai/Mistral-7B-Instruct-v0.3,20,20,80,3500,40,10.0,2026-04-20T14:18:33.181603+00:00,"### fold1_of_3_batch0_r0-20_c0-10
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,10,No,No,DSL,Yes,No
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No
Male,0,No,Yes,62,Yes,Yes,No,Yes,Yes
Male,0,Yes,Yes,13,Yes,No,No,Yes,No
Male,0,No,No,16,Yes,No,No,No,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes
Female,0,No,No,52,Yes,No,No,No,No
Male,1,Yes,",
35,35,15,7192.8,7251.7,fallback_tenure_x_monthlycharges,"fold1_of_3_batch1_r0-20_c10-20:numeric_coerce(TotalCharges,added_nan=15)",1,3,3,mistralai/Mistral-7B-Instruct-v0.3,20,20,80,3500,40,10.0,2026-04-20T14:18:33.181603+00:00,"### fold1_of_3_batch0_r0-20_c0-10
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,10,No,No,DSL,Yes,No
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No
Male,0,No,Yes,62,Yes,Yes,No,Yes,Yes
Male,0,Yes,Yes,13,Yes,No,No,Yes,No
Male,0,No,No,16,Yes,No,No,No,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes
Female,0,No,No,52,Yes,No,No,No,No
Male,1,Yes,",
41,41,5,4844.0,4872.35,fallback_tenure_x_monthlycharges,,2,3,3,mistralai/Mistral-7B-Instruct-v0.3,20,20,80,3500,40,10.0,2026-04-20T14:18:33.181603+00:00,"### fold2_of_3_batch0_r0-20_c0-10
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup
Male,0,No,No,5,Yes,No,Fiber optic,No,No
Female,0,No,No,46,Yes,No,Fiber optic,No,No
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes
Female,0,Yes,Yes,17,Yes,No,No internet service,No,No
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No
Male,0,No,No,2,Yes,No,DSL,No",
54,54,15,4491.0,4456.35,fallback_tenure_x_monthlycharges,,2,3,3,mistralai/Mistral-7B-Instruct-v0.3,20,20,80,3500,40,10.0,2026-04-20T14:18:33.181603+00:00,"### fold2_of_3_batch0_r0-20_c0-10
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup
Male,0,No,No,5,Yes,No,Fiber optic,No,No
Female,0,No,No,46,Yes,No,Fiber optic,No,No
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes
Female,0,Yes,Yes,17,Yes,No,No internet service,No,No
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No
Male,0,No,No,2,Yes,No,DSL,No",
55,55,5,1424.6,1752.55,paper_prompt_fold,,3,3,3,mistralai/Mistral-7B-Instruct-v0.3,20,20,80,3500,40,10.0,2026-04-20T14:18:33.181603+00:00,"### fold3_of_3_batch0_r0-20_c0-10
Female,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes
Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,No
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No
Female,0,Yes,Yes,52,Yes,No,No internet service,No internet service
Male,1,Yes,Yes,64",
75,75,15,4707.1,6139.5,paper_prompt_fold,,3,3,3,mistralai/Mistral-7B-Instruct-v0.3,20,20,80,3500,40,10.0,2026-04-20T14:18:33.181603+00:00,"### fold3_of_3_batch0_r0-20_c0-10
Female,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes
Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,No
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No
Female,0,Yes,Yes,52,Yes,No,No internet service,No internet service
Male,1,Yes,Yes,64",
10,10,0,649.35,587.45,fallback_tenure_x_monthlycharges,fold1_of_5_batch0_r0-16_c0-20:target_nan_after_parse(4) | split_rows(0:16->0:8+8:16) | fold1_of_5_batch1_r0-8_c0-20:target_nan_after_parse(4) | split_rows(0:8->0:4+4:8) | fold1_of_5_batch2_r0-4_c0-20:target_nan_after_parse(4) | ... (+19 more),1,5,5,mistralai/Mistral-7B-Instruct-v0.3,50,50,160,2500,16,,2026-04-20T14:41:46.737588+00:00,"### fold1_of_5_batch0_r0-16_c0-20
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,NaN,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),100.35,NaN,No
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),99.90,NaN,No
Female,0,",1.0
12,12,1,5820.299999999999,5681.1,fallback_tenure_x_monthlycharges,fold1_of_5_batch0_r0-16_c0-20:target_nan_after_parse(4) | split_rows(0:16->0:8+8:16) | fold1_of_5_batch1_r0-8_c0-20:target_nan_after_parse(4) | split_rows(0:8->0:4+4:8) | fold1_of_5_batch2_r0-4_c0-20:target_nan_after_parse(4) | ... (+19 more),1,5,5,mistralai/Mistral-7B-Instruct-v0.3,50,50,160,2500,16,,2026-04-20T14:41:46.737588+00:00,"### fold1_of_5_batch0_r0-16_c0-20
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,NaN,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),100.35,NaN,No
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),99.90,NaN,No
Female,0,",1.0
35,35,2,7192.8,7251.7,fallback_tenure_x_monthlycharges,fold1_of_5_batch0_r0-16_c0-20:target_nan_after_parse(4) | split_rows(0:16->0:8+8:16) | fold1_of_5_batch1_r0-8_c0-20:target_nan_after_parse(4) | split_rows(0:8->0:4+4:8) | fold1_of_5_batch2_r0-4_c0-20:target_nan_after_parse(4) | ... (+19 more),1,5,5,mistralai/Mistral-7B-Instruct-v0.3,50,50,160,2500,16,,2026-04-20T14:41:46.737588+00:00,"### fold1_of_5_batch0_r0-16_c0-20
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,NaN,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),100.35,NaN,No
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),99.90,NaN,No
Female,0,",1.0
