,German Credit Card,German Credit Card,German Credit Card,German Statlog,German Statlog,German Statlog,Telco,Telco,Telco
,MAR_TARGET,MCAR_TARGET,MNAR_TARGET,MAR_TARGET,MCAR_TARGET,MNAR_TARGET,MAR_TARGET,MCAR_TARGET,MNAR_TARGET
Mean/Mode,1.0079738087996415,1.0004463963628996,1.0850506608559651,1.01308635837113,1.0013136226243635,1.145709995570186,1.1254671745160685,1.00000227422749,1.1403228499324076
Median/Mode,1.1229570349396858,1.0729990573449606,1.2423381809598155,1.0729292703802156,1.035949386677697,1.2485956077271865,1.344856739849135,1.0815116210951905,1.354303203498585
MICE,0.2673562412742639,0.2398352789199064,0.2848347039594563,0.8486100861148131,0.7214614030036431,0.8328441342753067,0.3289207223829619,0.3249283394629289,0.3079917707384091
MissForest,0.2633504346478271,0.2510015117749637,0.2977331939664714,0.7781754089232676,0.6961224155571332,0.7672432026986329,0.0453629858944906,0.041159461015072,0.0454877305637051
DAE,0.3183447115016298,0.2826489660847722,0.3180409342492207,0.7884990568742521,0.6824163625406562,0.8416163269067175,0.2790768005618285,0.2080807704968913,0.2090726107935626
Llama 3.1 Prompt,0.4123869471847261,0.3776085192836017,0.4687784435772706,0.8990584483947553,0.9303265860797376,0.9674804484964244,0.0900448919238763,0.1380296372736213,0.1404205745797574
Llama 3.1 Finetuned,0.3979482219308415,0.5074549377734522,0.51884777446679,0.9021637454335334,0.7708775872751725,0.9910792346201908,0.0435808255273905,0.0897970078406956,0.0627200450587325
Mistral Prompt,0.4750120992243413,0.5341297724127093,0.5291809529082399,0.9822496918525602,0.8551427035887987,0.9862123842791832,0.8604583528040913,1.5778628678738893,1.180107114785045
Mistral Finetuned,0.2878593589340807,0.288401072962839,0.3206603574844748,0.901698632627864,0.7731992798745231,0.951224083036892,0.0397534822278257,0.2563665244510678,0.0410723831672863
Qwen 2.5 Prompt,0.3646757996643177,0.3540863869050035,0.365849634090294,0.9735090356545406,0.90621983513988,1.032143382877739,0.1230597889586399,0.1099817502913124,0.1811059451422825
Qwen 2.5 Finetuned,0.2816505497115982,0.2525949414955435,0.2866915093067742,0.886212977143087,0.80500020626863,0.8902466358739566,0.0396746047212197,0.0338901524991775,0.0402360874854769
