,German Credit Card,German Credit Card,German Credit Card,German Statlog,German Statlog,German Statlog,Telco,Telco,Telco
,MAR_TARGET,MCAR_TARGET,MNAR_TARGET,MAR_TARGET,MCAR_TARGET,MNAR_TARGET,MAR_TARGET,MCAR_TARGET,MNAR_TARGET
Mean/Mode,10,10,10,10,10,10,10,10,10
Median/Mode,11,11,11,11,11,11,11,11,11
MICE,2,1,2,3,3,2,6,6,6
MissForest,1,3,4,1,2,1,3,3,3
DAE,6,6,5,2,1,3,5,5,5
Llama 3.1 Prompt,9,9,9,8,8,7,9,9,9
Llama 3.1 Finetuned,4,5,6,5,5,4,2,4,4
Mistral Prompt,8,8,8,7,7,8,7,8,7
Mistral Finetuned,5,4,3,4,4,6,4,2,2
Qwen 2.5 Prompt,7,7,7,9,9,9,8,7,8
Qwen 2.5 Finetuned,3,2,1,6,6,5,1,1,1
