row_key,mean_nrmse,nrmse_std,n_tasks,method_label,plot_order,color
missforest,0.35395959389350706,0.311857393307038,9,MissForest,3,#2f5c8f
llm_finetuned::qwen,0.39068862938949594,0.3677404344420432,9,Qwen 2.5 Finetuned,10,#386641
llm_finetuned::mistral,0.42891501941853927,0.3531756451871876,9,Mistral Finetuned,8,#6a994e
dae,0.43642183777883675,0.25710925822810504,9,DAE,4,#6bb6c9
mice,0.46186474223685436,0.258157159683575,9,MICE,2,#4c78a8
llm_finetuned::llama,0.4760521533251999,0.3622381403448284,9,Llama 3.1 Finetuned,6,#a7c957
llm_prompt::qwen,0.49007017319155666,0.37500097441374797,9,Qwen 2.5 Prompt,9,#e07a5f
llm_prompt::llama,0.4915704996437523,0.35607946476856334,9,Llama 3.1 Prompt,5,#f6bd60
llm_prompt::mistral,0.8867062155254286,0.3546342044784065,9,Mistral Prompt,7,#f28e2b
meanmode,1.0577081268066835,0.06534737944339004,9,Mean/Mode,0,#9bbfe0
medianmode,1.17516001138583,0.12377283169753409,9,Median/Mode,1,#6f9fd8
