scenario_family,rate_pct,method_key,mean_nrmse_avg,scenario_label,method_label
MAR_TARGET,10,meanmode,1.0488424472289466,MAR target-only,Mean/Mode
MAR_TARGET,15,meanmode,1.0455737868027644,MAR target-only,Mean/Mode
MAR_TARGET,10,medianmode,1.180247681723012,MAR target-only,Median/Mode
MAR_TARGET,15,medianmode,1.1710396578714424,MAR target-only,Median/Mode
MAR_TARGET,10,mice,0.48162901659067964,MAR target-only,MICE
MAR_TARGET,15,mice,0.46843862224801386,MAR target-only,MICE
MAR_TARGET,10,missforest,0.36476668290737263,MAR target-only,MissForest
MAR_TARGET,15,missforest,0.3619677213461216,MAR target-only,MissForest
MAR_TARGET,10,dae,0.4613595336516336,MAR target-only,DAE
MAR_TARGET,15,dae,0.4515630874204043,MAR target-only,DAE
MCAR_TARGET,10,meanmode,1.0005874310715843,MCAR target-only,Mean/Mode
MCAR_TARGET,15,meanmode,1.0009636500115913,MCAR target-only,Mean/Mode
MCAR_TARGET,10,medianmode,1.063486688372616,MCAR target-only,Median/Mode
MCAR_TARGET,15,medianmode,1.057483604250401,MCAR target-only,Median/Mode
MCAR_TARGET,10,mice,0.4287416737954928,MCAR target-only,MICE
MCAR_TARGET,15,mice,0.4510261456160521,MCAR target-only,MICE
MCAR_TARGET,10,missforest,0.33116306712770516,MCAR target-only,MissForest
MCAR_TARGET,15,missforest,0.3470272172994143,MCAR target-only,MissForest
MCAR_TARGET,10,dae,0.3890376111777401,MCAR target-only,DAE
MCAR_TARGET,15,dae,0.41603242459900786,MCAR target-only,DAE
MNAR_TARGET,10,meanmode,1.1236945021195195,MNAR target-only,Mean/Mode
MNAR_TARGET,15,meanmode,1.1307097389201846,MNAR target-only,Mean/Mode
MNAR_TARGET,10,medianmode,1.2817456640618623,MNAR target-only,Median/Mode
MNAR_TARGET,15,medianmode,1.2840494834881195,MNAR target-only,Median/Mode
MNAR_TARGET,10,mice,0.47522353632439074,MNAR target-only,MICE
MNAR_TARGET,15,mice,0.490472000464094,MNAR target-only,MICE
MNAR_TARGET,10,missforest,0.3733525884093602,MNAR target-only,MissForest
MNAR_TARGET,15,missforest,0.3881859977177785,MNAR target-only,MissForest
MNAR_TARGET,10,dae,0.4619133837286046,MNAR target-only,DAE
MNAR_TARGET,15,dae,0.48749876847571627,MNAR target-only,DAE
MCAR_GLOBAL,10,meanmode,1.000413924893547,MCAR global,Mean/Mode
MCAR_GLOBAL,15,meanmode,1.0000548518649799,MCAR global,Mean/Mode
MCAR_GLOBAL,10,medianmode,1.0600690637486876,MCAR global,Median/Mode
MCAR_GLOBAL,15,medianmode,1.0576602857834236,MCAR global,Median/Mode
MCAR_GLOBAL,10,mice,0.4966165064154841,MCAR global,MICE
MCAR_GLOBAL,15,mice,0.5097091915696274,MCAR global,MICE
MCAR_GLOBAL,10,missforest,0.4488245598404813,MCAR global,MissForest
MCAR_GLOBAL,15,missforest,0.48136169731798994,MCAR global,MissForest
MCAR_GLOBAL,10,dae,0.49580055759218455,MCAR global,DAE
MCAR_GLOBAL,15,dae,0.5239275091052666,MCAR global,DAE
