dataset_name,scenario_family,model_key,mean_nrmse_avg,scenario_label,model_label
German Credit Card,MAR_TARGET,llama,0.3979482219308415,MAR,Llama 3.1
German Credit Card,MCAR_TARGET,llama,0.5074549377734522,MCAR,Llama 3.1
German Credit Card,MNAR_TARGET,llama,0.51884777446679,MNAR,Llama 3.1
German Credit Card,MAR_TARGET,mistral,0.2878593589340807,MAR,Mistral
German Credit Card,MCAR_TARGET,mistral,0.288401072962839,MCAR,Mistral
German Credit Card,MNAR_TARGET,mistral,0.3206603574844748,MNAR,Mistral
German Credit Card,MAR_TARGET,qwen,0.2816505497115982,MAR,Qwen 2.5
German Credit Card,MCAR_TARGET,qwen,0.2525949414955435,MCAR,Qwen 2.5
German Credit Card,MNAR_TARGET,qwen,0.2866915093067742,MNAR,Qwen 2.5
German Statlog,MAR_TARGET,llama,0.9021637454335334,MAR,Llama 3.1
German Statlog,MCAR_TARGET,llama,0.7708775872751725,MCAR,Llama 3.1
German Statlog,MNAR_TARGET,llama,0.9910792346201908,MNAR,Llama 3.1
German Statlog,MAR_TARGET,mistral,0.901698632627864,MAR,Mistral
German Statlog,MCAR_TARGET,mistral,0.7731992798745231,MCAR,Mistral
German Statlog,MNAR_TARGET,mistral,0.951224083036892,MNAR,Mistral
German Statlog,MAR_TARGET,qwen,0.886212977143087,MAR,Qwen 2.5
German Statlog,MCAR_TARGET,qwen,0.80500020626863,MCAR,Qwen 2.5
German Statlog,MNAR_TARGET,qwen,0.8902466358739566,MNAR,Qwen 2.5
Telco,MAR_TARGET,llama,0.0435808255273905,MAR,Llama 3.1
Telco,MCAR_TARGET,llama,0.0897970078406956,MCAR,Llama 3.1
Telco,MNAR_TARGET,llama,0.0627200450587325,MNAR,Llama 3.1
Telco,MAR_TARGET,mistral,0.0397534822278257,MAR,Mistral
Telco,MCAR_TARGET,mistral,0.2563665244510678,MCAR,Mistral
Telco,MNAR_TARGET,mistral,0.0410723831672863,MNAR,Mistral
Telco,MAR_TARGET,qwen,0.0396746047212197,MAR,Qwen 2.5
Telco,MCAR_TARGET,qwen,0.0338901524991775,MCAR,Qwen 2.5
Telco,MNAR_TARGET,qwen,0.0402360874854769,MNAR,Qwen 2.5
