dataset,missingness_type,missing_rate,imputation_method,mean_rmse
Telco,MAR,"missing totalCharges -> tenure, 10%",Mean/Mode,2623.4548714685493
Telco,MNAR,"tenure, 10%",Mean/Mode,26.419007656376365
Telco,MCAR,10%,Mean/Mode,600.1104537746895
Telco,MNAR,"totalcharges, 10%",Mean/Mode,2740.228886132297
Telco,MCAR,"totalcharges, 10%",Mean/Mode,2182.2660317793107
German Statlog,MAR,"missing duration -> credit amount, 10%",Mean/Mode,12.11591566270082
German Statlog,MNAR,"credit amount, 10%",Mean/Mode,1.8123680028564224
German Statlog,MCAR,10%,Mean/Mode,2.494632520275548
German Statlog,MNAR,"duration, 10%",Mean/Mode,13.607716810329478
German Statlog,MCAR,"duration, 10%",Mean/Mode,12.95415034307967
German Credit Card,MAR,"missing pay_0 -> limitbal, 10%",Mean/Mode,1.0753253892333086
German Credit Card,MNAR,"Amount Credit, 10%",Mean/Mode,148565.80544037258
German Credit Card,MCAR,10%,Mean/Mode,26086.41136203633
German Credit Card,MAR,"missing billamt1 -> pay0, 10%",Mean/Mode,76787.35831515948
German Credit Card,MNAR,"billamt1, 10%",Mean/Mode,96470.04603516147
German Credit Card,MCAR,"billamt1, 10%",Mean/Mode,69190.93023459395
Telco,MAR,"missing totalCharges -> tenure, 10%",Median/Mode,3134.850171975542
Telco,MNAR,"tenure, 10%",Median/Mode,29.478709574569542
Telco,MCAR,10%,Median/Mode,643.3919783201748
Telco,MNAR,"totalcharges, 10%",Median/Mode,3254.4298827549605
Telco,MCAR,"totalcharges, 10%",Median/Mode,2360.1407061937366
German Statlog,MAR,"missing duration -> credit amount, 10%",Median/Mode,12.831601614763452
German Statlog,MNAR,"credit amount, 10%",Median/Mode,2.379075450674064
German Statlog,MCAR,10%,Median/Mode,2.659248539554193
German Statlog,MNAR,"duration, 10%",Median/Mode,14.829699929533302
German Statlog,MCAR,"duration, 10%",Median/Mode,13.402238618977057
German Credit Card,MAR,"missing pay_0 -> limitbal, 10%",Median/Mode,1.0745541711178022
German Credit Card,MNAR,"Amount Credit, 10%",Median/Mode,165775.2494594212
German Credit Card,MCAR,10%,Median/Mode,27444.178502336224
German Credit Card,MAR,"missing billamt1 -> pay0, 10%",Median/Mode,85546.7706220755
German Credit Card,MNAR,"billamt1, 10%",Median/Mode,110454.2173301726
German Credit Card,MCAR,"billamt1, 10%",Median/Mode,74208.67643528394
Telco,MAR,"missing totalCharges -> tenure, 10%",MICE,734.0278491636891
Telco,MNAR,"tenure, 10%",MICE,9.58303171208618
Telco,MCAR,10%,MICE,212.14005938409733
Telco,MNAR,"totalcharges, 10%",MICE,712.4281179213945
Telco,MCAR,"totalcharges, 10%",MICE,672.2261365272841
