### fold2_of_3_batch0_r0-20_c0-10
gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup
Male,0,No,No,5,Yes,No,Fiber optic,No,No
Female,0,No,No,46,Yes,No,Fiber optic,No,No
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes
Female,0,Yes,Yes,17,Yes,No,No internet service,No,No
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No
Male,0,No,No,2,Yes,No,DSL,No,Yes
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes
Female,1,No,No,25,Yes,Yes,DSL,Yes,No
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes
Female,0,Yes,Yes,34,Yes,Yes,No internet service,No,No

### fold2_of_3_batch1_r0-20_c10-20
DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
DeviceProtection,Yes,No,No,Month-to-month,Yes,Electronic check,69.70,316.90,Yes
TechSupport,No,No,No,Month-to-month,Yes,Credit card (automatic),74.80,3548.30,No
StreamingTV,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes
StreamingMovies,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.40,Yes
Contract,No,No,No,One year,No,Mailed check,49.55,475.70,No
StreamingTV,No,Yes,No,Two year,Yes,Credit card (automatic),69.20,NaN,No
DeviceProtection,No,No,No,No,No,No internet service,20.75,418.25,No
TechSupport,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No
StreamingTV,No,Yes,No,Month-to-month,Yes,Electronic check,76.20,981.45,No
StreamingMovies,No,No,Yes,Month-to-month,Yes,Electronic check,84.50,3906.70,No
Contract,No,No,No,Month-to-month,Yes,Mailed check,49.25,97.00,No
DeviceProtection,No,No,No,No,No,No internet service,90.25,3838.75,No
TechSupport,No,No,Yes,Month-to-month,Yes,Electronic check,99.10,1426.40,Yes
StreamingTV,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),90.25,NaN,No
Contract,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.30,Yes
DeviceProtection,Yes,Yes,No,One year,Yes,Credit card (automatic),74.85,NaN,No
StreamingTV,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes
StreamingMovies,No,No,Yes,One year,Yes,Credit card (automatic),99.65,6311.20,No
Contract,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No
StreamingTV,No,No,No,Two year,No,Credit card (automatic),24.95,894.30,No
