run_id,dataset_key,dataset_name,target_column,scenario_family,missingness_type,mcar_scope,mar_dependency_column,mnar_driver_column,mcar_global_excluded_columns,rate_pct,seed,method_family,method_key,method_name,model_key,model_name,include_in_primary_leaderboard,include_in_secondary_full_matrix
R000001,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,classical,meanmode,Mean/Mode,,,True,False
R000002,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,classical,medianmode,Median/Mode,,,True,False
R000003,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,classical,mice,MICE,,,True,False
R000004,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,classical,missforest,MissForest,,,True,False
R000005,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,classical,dae,DAE,,,True,False
R000006,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,202,classical,meanmode,Mean/Mode,,,True,False
R000007,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,202,classical,medianmode,Median/Mode,,,True,False
R000008,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,202,classical,mice,MICE,,,True,False
R000009,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,202,classical,missforest,MissForest,,,True,False
R000010,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,202,classical,dae,DAE,,,True,False
R000011,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,303,classical,meanmode,Mean/Mode,,,True,False
R000012,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,303,classical,medianmode,Median/Mode,,,True,False
R000013,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,303,classical,mice,MICE,,,True,False
R000014,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,303,classical,missforest,MissForest,,,True,False
R000015,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,303,classical,dae,DAE,,,True,False
R000016,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,404,classical,meanmode,Mean/Mode,,,True,False
R000017,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,404,classical,medianmode,Median/Mode,,,True,False
R000018,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,404,classical,mice,MICE,,,True,False
R000019,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,404,classical,missforest,MissForest,,,True,False
R000020,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,404,classical,dae,DAE,,,True,False
R000021,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,505,classical,meanmode,Mean/Mode,,,True,False
R000022,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,505,classical,medianmode,Median/Mode,,,True,False
R000023,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,505,classical,mice,MICE,,,True,False
R000024,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,505,classical,missforest,MissForest,,,True,False
R000025,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,505,classical,dae,DAE,,,True,False
R000026,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000027,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000028,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000029,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000030,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000031,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000032,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000033,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000034,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000035,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,42,classical,meanmode,Mean/Mode,,,True,False
R000036,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,42,classical,medianmode,Median/Mode,,,True,False
R000037,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,42,classical,mice,MICE,,,True,False
R000038,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,42,classical,missforest,MissForest,,,True,False
