run_id,dataset_key,dataset_name,target_column,scenario_family,missingness_type,mcar_scope,mar_dependency_column,mnar_driver_column,mcar_global_excluded_columns,rate_pct,seed,method_family,method_key,method_name,model_key,model_name,include_in_primary_leaderboard,include_in_secondary_full_matrix
prompt::telco::mistral::mar::k2::2026-06-16T09:47:31.101072+00:00,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
prompt::telco::llama31::mar::k2::2026-06-16T09:47:53.810511+00:00,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
prompt::telco::qwen25::mar::k2::2026-06-16T09:46:01.255466+00:00,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
prompt::telco::mistral::mnar::k2::2026-06-16T10:14:55.855938+00:00,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
prompt::telco::llama31::mnar::k2::2026-06-16T10:10:38.420778+00:00,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
prompt::telco::qwen25::mnar::k2::2026-06-16T10:12:07.893248+00:00,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
prompt::telco::mistral::mcar::k2::2026-06-16T10:01:14.231724+00:00,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
prompt::telco::llama31::mcar::k2::2026-06-16T09:59:11.322692+00:00,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
prompt::telco::qwen25::mcar::k2::2026-06-16T09:59:12.885906+00:00,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
prompt::statlog::mistral::mar::k2::2026-06-16T19:54:39.402925+00:00,statlog,German Statlog,X2,MAR_TARGET,MAR,target,X5,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
prompt::statlog::llama31::mar::k2::2026-06-16T20:15:21.152430+00:00,statlog,German Statlog,X2,MAR_TARGET,MAR,target,X5,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
prompt::statlog::qwen25::mar::k2::2026-06-16T19:41:15.838804+00:00,statlog,German Statlog,X2,MAR_TARGET,MAR,target,X5,,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
prompt::statlog::mistral::mnar::k2::2026-06-16T19:59:12.558829+00:00,statlog,German Statlog,X2,MNAR_TARGET,MNAR,target,,X2,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
prompt::statlog::llama31::mnar::k2::2026-06-16T20:19:14.606840+00:00,statlog,German Statlog,X2,MNAR_TARGET,MNAR,target,,X2,,10,42,llm_prompt,llm_prompt_fewshot_k2,LLM Prompt Few-shot k=2,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
